Project Code,Database,Dealer,Cloud Partner,Training Provided,tenure,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn
7590-VHVEG,DFM,0,Yes,No,1,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Common,0,No,No,34,Yes,Cabinetry,ROAP,Yes,No,Yes,No,No,No,AMC,No,Mailed check,56.95,1889.5,No
3668-QPYBK,Common,0,No,No,2,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Common,0,No,No,45,No,Countertop,ROAP,Yes,No,Yes,Yes,No,No,AMC,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,DFM,0,No,No,2,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,DFM,0,No,No,8,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,Common,0,No,Yes,22,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,DFM,0,No,No,10,No,Countertop,ROAP,Yes,No,No,No,No,No,T&M,No,Mailed check,29.75,301.9,No
7892-POOKP,DFM,0,Yes,No,28,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,Common,0,No,Yes,62,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,AMC,No,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,Common,0,Yes,Yes,13,Yes,Cabinetry,ROAP,Yes,No,No,No,No,No,T&M,Yes,Mailed check,49.95,587.45,No
7469-LKBCI,Common,0,No,No,16,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,Common,0,Yes,No,58,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,AMC,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,Common,0,No,No,49,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,Common,0,No,No,25,Yes,Cabinetry,North America,Yes,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,105.5,2686.05,No
3655-SNQYZ,DFM,0,Yes,Yes,69,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,DFM,0,No,No,52,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.65,1022.95,No
9959-WOFKT,Common,0,No,Yes,71,Yes,Appliance,North America,Yes,No,Yes,No,Yes,Yes,Fixed Price,No,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,DFM,0,Yes,Yes,10,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,T&M,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,DFM,0,No,No,21,Yes,Cabinetry,North America,No,Yes,Yes,No,No,Yes,T&M,Yes,Electronic check,90.05,1862.9,No
8779-QRDMV,Common,1,No,No,1,No,Countertop,ROAP,No,No,Yes,No,No,Yes,T&M,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,Common,0,Yes,No,12,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.15,20.15,Yes
3638-WEABW,DFM,0,Yes,No,58,Yes,Appliance,ROAP,No,Yes,No,Yes,No,No,Fixed Price,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Common,0,Yes,Yes,49,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,T&M,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,DFM,0,No,No,30,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Common,0,Yes,Yes,47,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,Common,0,Yes,Yes,1,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,No,Electronic check,30.2,30.2,Yes
5248-YGIJN,Common,0,Yes,No,72,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,DFM,0,No,Yes,17,Yes,Cabinetry,ROAP,No,No,No,No,Yes,Yes,T&M,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,DFM,1,Yes,No,71,Yes,Appliance,North America,Yes,Yes,Yes,Yes,No,No,Fixed Price,Yes,Credit card (automatic),96.35,6766.95,No
