,Database,Dealer,Cloud Partner,Training Provided,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn,tenure_group
0,DFM,0,Yes,No,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,Yes,Electronic check,29.85,29.85,0,1 - 12
1,Common,0,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,No,No,No,AMC,No,Mailed check,56.95,1889.5,0,25 - 36
2,Common,0,No,No,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Mailed check,53.85,108.15,1,1 - 12
3,Common,0,No,No,No,Countertop,ROAP,Yes,No,Yes,Yes,No,No,AMC,No,Bank transfer (automatic),42.3,1840.75,0,37 - 48
4,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,70.7,151.65,1,1 - 12
5,DFM,0,No,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,99.65,820.5,1,1 - 12
6,Common,0,No,Yes,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Credit card (automatic),89.1,1949.4,0,13 - 24
7,DFM,0,No,No,No,Countertop,ROAP,Yes,No,No,No,No,No,T&M,No,Mailed check,29.75,301.9,0,1 - 12
8,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,104.8,3046.05,1,25 - 36
9,Common,0,No,Yes,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,AMC,No,Bank transfer (automatic),56.15,3487.95,0,61 - 72
10,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,No,No,No,No,No,T&M,Yes,Mailed check,49.95,587.45,0,13 - 24
11,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),18.95,326.8,0,13 - 24
12,Common,0,Yes,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,AMC,No,Credit card (automatic),100.35,5681.1,0,49 - 60
13,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),103.7,5036.3,1,49 - 60
14,Common,0,No,No,Yes,Cabinetry,North America,Yes,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,105.5,2686.05,0,25 - 36
15,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),113.25,7895.15,0,61 - 72
16,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.65,1022.95,0,49 - 60
17,Common,0,No,Yes,Yes,Appliance,North America,Yes,No,Yes,No,Yes,Yes,Fixed Price,No,Bank transfer (automatic),106.7,7382.25,0,61 - 72
18,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,T&M,No,Credit card (automatic),55.2,528.35,1,1 - 12
19,DFM,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,No,No,Yes,T&M,Yes,Electronic check,90.05,1862.9,0,13 - 24
20,Common,1,No,No,No,Countertop,ROAP,No,No,Yes,No,No,Yes,T&M,Yes,Electronic check,39.65,39.65,1,1 - 12
21,Common,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),19.8,202.25,0,1 - 12
22,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.15,20.15,1,1 - 12
23,DFM,0,Yes,No,Yes,Appliance,ROAP,No,Yes,No,Yes,No,No,Fixed Price,Yes,Credit card (automatic),59.9,3505.1,0,49 - 60
24,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,T&M,No,Credit card (automatic),59.6,2970.3,0,49 - 60
25,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),55.3,1530.6,0,25 - 36
26,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,99.35,4749.15,1,37 - 48
27,Common,0,Yes,Yes,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,No,Electronic check,30.2,30.2,1,1 - 12
28,Common,0,Yes,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),90.25,6369.45,0,61 - 72
29,DFM,0,No,Yes,Yes,Cabinetry,ROAP,No,No,No,No,Yes,Yes,T&M,Yes,Mailed check,64.7,1093.1,1,13 - 24
30,DFM,1,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,No,No,Fixed Price,Yes,Credit card (automatic),96.35,6766.95,0,61 - 72
31,Common,1,Yes,No,Yes,Cabinetry,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),95.5,181.65,0,1 - 12
32,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,No,No,AMC,No,Mailed check,66.15,1874.45,0,25 - 36
33,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),20.2,20.2,0,1 - 12
34,Common,1,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),45.25,45.25,0,1 - 12
